metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
ioconnect.mulesoft.anypoint.arm_monitoring_query.applications.message_count,gauge,,unit,,Gets the applications message count per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.applications.message_count
ioconnect.mulesoft.anypoint.arm_monitoring_query.applications.response_time,gauge,,time,,Gets the applications(avg) message response time per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.applications.response_time
ioconnect.mulesoft.anypoint.arm_monitoring_query.applications.error_count,gauge,,unit,,Gets the applications event error count per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.applications.error_count
ioconnect.mulesoft.anypoint.arm_monitoring_query.aplications.flows.message_count,gauge,,unit,,Gets the flows message count per application,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.aplications.flows.message_count
ioconnect.mulesoft.anypoint.arm_monitoring_query.applications.flows.response_time,gauge,,time,,Gets theflows message response time per application,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.applications.flows.response_time
ioconnect.mulesoft.anypoint.arm_monitoring_query.applications.flows.error_count,gauge,,unit,,Gets the flows event error count per application,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.applications.flows.error_count
ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.cpu_usage,gauge,,unit,,Gets the targets cpu usage on a period of time per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.cpu_usage
ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.memory_usage,gauge,,unit,,Gets the targets memory usage on a period of time per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.memory_usage
ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.memory_committed,rate,,byte,,Gets the targets memory committed on a period of time per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.memory_committed
ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.memory_total,gauge,,byte,,Gets the targets memory total on a period of time per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.memory_total
ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.thread_count,gauge,,unit,,Gets the targets thread-count on a period of time per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.thread_count
ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.load_average,gauge,,unit,,Gets the targets load-avg on a period of time per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.load_average
ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.eden_usage,gauge,,unit,,Gets the targets eden-usage on a period of time per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.eden_usage
ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.eden_committed,gauge,,unit,,Gets the targets eden-committed on a period of time per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.eden_committed
ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.eden_total,gauge,,unit,,Gets the targets eden-total on a period of time per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.eden_total
ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.survivor_usage,gauge,,unit,,Gets the targets survivor-usage on a period of time per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.survivor_usage
ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.survivor_committed,gauge,,unit,,Gets the targets survivor-committed on a period of time per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.survivor_committed
ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.survivor_total,gauge,,unit,,Gets the targets survivor-total on a period of time per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.survivor_total
ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.metaspace_usage,gauge,,unit,,Gets the targets metaspace-usage on a period of time per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.metaspace_usage
ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.metaspace_committed,gauge,,unit,,Gets the targets metaspace-committed on a period of time per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.metaspace_committed
ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.metaspace_total,gauge,,unit,,Gets the targets metaspace-total on a period of time per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.metaspace_total
ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.tenured_gen_usage,gauge,,unit,,Gets the targets tenured-gen-usage on a period of time per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.tenured_gen_usage
ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.tenured_gen_committed,gauge,,unit,,Gets the targets tenured-gen-committed on a period of time per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.tenured_gen_committed
ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.tenured_gen_total,gauge,,unit,,Gets the targets tenured-gen-total on a period of time per environment,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.arm_monitoring_query.targets.tenured_gen_total
